last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/23/2022,Habitación Verde.,Tlalpan,19.2751,-99.17757,$300.00 
9/22/2022,Apartment at south of Mexico city,Coyoacán,19.30523,-99.18356,$450.00 
9/22/2022,Bedroom for rent,Iztapalapa,19.32227,-99.09046,$258.00 
9/22/2022,Rento recámara en Coyoacán centro,Coyoacán,19.34549,-99.15872,"$1,300.00 "
9/23/2022,"Comfort, convenience & security, all in one place",Benito Juárez,19.36809,-99.17821,$850.00 
9/23/2022,"CONDESA COZY, COMFORTABLE APARTMENT",Cuauhtémoc,19.41975,-99.17341,"$1,538.00 "
9/22/2022,"Location & security, double bedroom apartment",Benito Juárez,19.36613,-99.17831,$440.00 
9/23/2022,Beautiful designer artists home..,Coyoacán,19.35164,-99.15289,"$4,893.00 "
9/23/2022,beautiful furnished room Rome area,Cuauhtémoc,19.40639,-99.16686,"$1,098.00 "
9/23/2022,"Cuarto Amplio con Estudio, Roma DF.",Cuauhtémoc,19.41317,-99.15735,$502.00 
9/22/2022,Recámara luminosa y jardín,Miguel Hidalgo,19.40237,-99.24315,"$2,000.00 "
9/22/2022,"Renew Room, near to Condesa",Benito Juárez,19.39129,-99.1888,$420.00 
9/23/2022,Suite 1 - Suites Condesa Mexico,Cuauhtémoc,19.40915,-99.17321,$900.00 
9/23/2022,Spacious Modern Apt. with Parking Near Reforma Ave,Cuauhtémoc,19.43165,-99.17132,"$1,598.00 "
9/23/2022,Cosy apartment in Polanco near park,Miguel Hidalgo,19.42948,-99.19179,"$2,358.00 "
9/23/2022,Contemporary apt. in historic spot,Cuauhtémoc,19.4336,-99.13224,"$1,178.00 "
9/23/2022,Condesa Roma WTC Loft,Cuauhtémoc,19.40213,-99.16924,$579.00 
9/23/2022,"Great Accommodation in Condesa , modern , secure",Cuauhtémoc,19.41277,-99.17546,$899.00 
9/23/2022,Distrito Condesa entire house or by room,Cuauhtémoc,19.4075,-99.17561,"$13,500.00 "
9/23/2022,♡ 50%Off Exclusive King Size Pool & Gym US Embassy,Cuauhtémoc,19.42801,-99.16467,"$2,904.00 "
9/23/2022,"Comfortable, beautiful and convenient pied à terre",Miguel Hidalgo,19.43514,-99.18361,$959.00 
9/22/2022,SALUDOS MI NOMBRE ES FERNANDO,Miguel Hidalgo,19.45684,-99.17179,$700.00 
9/23/2022,Luxury Loft-Style Apartment in Vibrant Polanco Neighborhood,Miguel Hidalgo,19.43179,-99.19426,"$3,375.00 "
9/22/2022,"Room colonial, green, Coyoacán (Women only)",Coyoacán,19.3424,-99.15419,$297.00 
9/22/2022,¡ Hermosa habitación en la Ciudad de México !,Coyoacán,19.34356,-99.1286,$350.00 
9/23/2022,Cool apartment with  the Best Roof Top in Condesa,Cuauhtémoc,19.41068,-99.17732,"$2,300.00 "
9/22/2022,Comfortable stay at sunny flat,Benito Juárez,19.38366,-99.16569,$500.00 
9/22/2022,"Hermosa recámara, cerca La Condesa",Benito Juárez,19.39165,-99.18885,$420.00 
