,nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
66,EL PIRUL,1130,1481.074541,19.38032499,-99.24025377,Álvaro Obregón,CDMX
67,EL POCITO,1110,1127.922059,19.38168536,-99.20899,Álvaro Obregón,CDMX
68,EL RODEO,1270,1020.41,19.38049884,-99.20857121,Álvaro Obregón,CDMX
69,EL RUEDO,1650,1342.03,19.35136384,-99.23999834,Álvaro Obregón,CDMX
70,EMANCIPACION DEL PUEBLO,1550,1730.673758,19.36048691,-99.23854168,Álvaro Obregón,CDMX
71,ESTADO DE HIDALGO,1120,3023.996013,19.3996005,-99.20616867,Álvaro Obregón,CDMX
72,ESTADO DE HIDALGO (AMPL),1520,2659.25,19.39769761,-99.20906618,Álvaro Obregón,CDMX
73,ESTADO DE HIDALGO_,1410,1396.426754,19.36450878,-99.24168881,Álvaro Obregón,CDMX
74,FLOR DE MARIA,1040,4117.480826,19.349399,-99.20517366,Álvaro Obregón,CDMX
75,FLORIDA,1030,6471.154597,19.35752987,-99.18061311,Álvaro Obregón,CDMX
76,FRANCISCO VILLA,1170,2010.8,19.38422823,-99.20409387,Álvaro Obregón,CDMX
77,GALEANA,1400,1547.886393,19.37090649,-99.22424855,Álvaro Obregón,CDMX
78,GARCIMARRERO,1210,1471.091045,19.36540725,-99.23705802,Álvaro Obregón,CDMX
79,GARCIMARRERO NORTE,1210,1273.701481,19.36663412,-99.24238434,Álvaro Obregón,CDMX
80,GARCIMARRERO REACOMODO,1210,1470.86,19.36662783,-99.23545777,Álvaro Obregón,CDMX
81,GOLONDRINAS,1210,973.78,19.3785561,-99.21319415,Álvaro Obregón,CDMX
82,GOLONDRINAS 1RA SECCION,1270,1373.544821,19.38036702,-99.21207985,Álvaro Obregón,CDMX
83,GOLONDRINAS 2DA SECCION,1210,973.78,19.37641635,-99.21691245,Álvaro Obregón,CDMX
84,GRAL A ROSALES,1230,1592.7836,19.37794038,-99.24602119,Álvaro Obregón,CDMX
85,GRAL C  A  MADRAZO,1320,5178.804379,19.37919556,-99.25088979,Álvaro Obregón,CDMX
86,GUADALUPE INN,1000,10104.41464,19.35370526,-99.18677334,Álvaro Obregón,CDMX
87,HACIENDA DE GUADALUPE CHIMALISTAC,1030,7982.506885,19.35042737,-99.18127926,Álvaro Obregón,CDMX
88,HERON PROAL,1614,1347.945447,19.35799917,-99.23011215,Álvaro Obregón,CDMX
89,HOGAR Y REDENCION,1400,1219.55,19.36994145,-99.21356888,Álvaro Obregón,CDMX
90,ISIDRO FABELA,1100,2010.8,19.38636281,-99.20900325,Álvaro Obregón,CDMX
91,JALALPA,1209,954.3390265,19.37910072,-99.22862121,Álvaro Obregón,CDMX
92,JALALPA (AMPL),1296,803.32,19.3778356,-99.2329458,Álvaro Obregón,CDMX
93,JALALPA EL GRANDE,1150,1188.19,19.36871102,-99.24346883,Álvaro Obregón,CDMX
94,JALALPA TEPITO,1250,1082.966921,19.37393145,-99.23721077,Álvaro Obregón,CDMX
95,JARDINES DEL PEDREGAL,1900,4899.766953,19.31901441,-99.20876909,Álvaro Obregón,CDMX
96,JOSE MARIA PINO SUAREZ,1110,1967.59242,19.39577509,-99.19798201,Álvaro Obregón,CDMX
97,JURISTAS,1630,1365.53,19.3561181,-99.23623351,Álvaro Obregón,CDMX
98,LA ANGOSTURA,1770,1735.165692,19.33314153,-99.23247536,Álvaro Obregón,CDMX
99,LA ARAA,1500,1476.84,19.36350442,-99.24042295,Álvaro Obregón,CDMX
100,LA CANADA,1269,1120.872045,19.38210511,-99.22679574,Álvaro Obregón,CDMX
101,LA CASCADA,1470,1965.189749,19.37016107,-99.19847733,Álvaro Obregón,CDMX
102,LA CEBADA (AMPL),1210,1148.834627,19.38025318,-99.23352103,Álvaro Obregón,CDMX
103,LA CONCHITA,1100,2047.48,19.39127417,-99.20811188,Álvaro Obregón,CDMX
104,LA HERRADURA,1060,3105.446087,19.34565603,-99.21016613,Álvaro Obregón,CDMX
105,LA HUERTA,1230,1282.28,19.37881397,-99.23968959,Álvaro Obregón,CDMX
106,LA JOYA,1230,2010.8,19.38460547,-99.21162082,Álvaro Obregón,CDMX
107,LA LOMA,1376,9402.07,19.36949563,-99.24993096,Álvaro Obregón,CDMX
108,LA MARTINICA,1600,1829.905747,19.35958999,-99.2240095,Álvaro Obregón,CDMX
109,LA MEXICANA,1200,1091.386146,19.38223507,-99.23154794,Álvaro Obregón,CDMX
110,LA MEXICANA (AMPL),1260,961.1310526,19.38371633,-99.2281489,Álvaro Obregón,CDMX
111,LA MILAGROSA,1600,1109.985354,19.35142457,-99.23820138,Álvaro Obregón,CDMX
112,LA OTRA BANDA,1000,8381.417315,19.33654872,-99.1970036,Álvaro Obregón,CDMX
113,LA PALMITA,1110,951.2946825,19.38414512,-99.22637366,Álvaro Obregón,CDMX
114,LA PERA XOCHINAHUAC (U HAB),1618,1358.62,19.35912741,-99.22764858,Álvaro Obregón,CDMX
115,LA PRESA,1270,1349.71,19.38206395,-99.21170218,Álvaro Obregón,CDMX
116,LA PRESA SECCION HORNOS,1270,1028.74271,19.38231582,-99.21617109,Álvaro Obregón,CDMX
117,LADERA GRANDE O LA CEBADITA,1210,1171.291892,19.38046242,-99.23707393,Álvaro Obregón,CDMX
118,LAS AGUILAS,1010,2462.18,19.36022773,-99.20274323,Álvaro Obregón,CDMX
119,LAS AGUILAS (AMPL),1700,2045.382124,19.35083796,-99.2178449,Álvaro Obregón,CDMX
120,LAS AGUILAS SECC HORNOS,1600,2660.987955,19.3618534,-99.20454998,Álvaro Obregón,CDMX
121,LAS CUEVITAS,1210,2170.81,19.38654019,-99.22613216,Álvaro Obregón,CDMX
122,LAS PALMAS,1110,2033.37,19.3988964,-99.21115671,Álvaro Obregón,CDMX
123,LIBERACION PROLETARIA,1209,1133.39,19.38149568,-99.22986814,Álvaro Obregón,CDMX
124,LIBERALES DE 1857,1110,1545.18,19.39353287,-99.21240264,Álvaro Obregón,CDMX
125,LLANO REDONDO,1500,1770.088566,19.35551677,-99.24488843,Álvaro Obregón,CDMX
126,LOMAS DE AXOMIATLA,1050,2373.927092,19.34265588,-99.25230704,Álvaro Obregón,CDMX
127,LOMAS DE BECERRA,1279,1143.957283,19.38464058,-99.21676116,Álvaro Obregón,CDMX
128,LOMAS DE BECERRA (U HAB),1280,2010.8,19.38398609,-99.20069042,Álvaro Obregón,CDMX
129,LOMAS DE BECERRA ARVIDE (U HAB),1279,2010.8,19.38305339,-99.20688479,Álvaro Obregón,CDMX
130,LOMAS DE CAPULA,1270,1377.81,19.37941891,-99.21584426,Álvaro Obregón,CDMX
131,LOMAS DE CAPULIN,1110,956.3257955,19.3126989,-99.26875651,Álvaro Obregón,CDMX
132,LOMAS DE CENTENARIO (U HAB),1630,1365.53,19.35664802,-99.23502772,Álvaro Obregón,CDMX
133,LOMAS DE CHAMONTOYA,1857,838.0959594,19.31747247,-99.26801703,Álvaro Obregón,CDMX
134,LOMAS DE GUADALUPE,1588,2135.127782,19.34208304,-99.24401242,Álvaro Obregón,CDMX
135,LOMAS DE LA ERA,1860,1045.576093,19.32090605,-99.2627322,Álvaro Obregón,CDMX
136,LOMAS DE LAS AGUILAS,1600,1937.857451,19.34591267,-99.23547162,Álvaro Obregón,CDMX
137,LOMAS DE LOS ANGELES TETELPAN,1020,2133.966067,19.34354724,-99.21409825,Álvaro Obregón,CDMX
138,LOMAS DE LOS CEDROS,1840,1046.32,19.3251693,-99.25759896,Álvaro Obregón,CDMX
139,LOMAS DE NUEVO MEXICO,1250,1133.39,19.38191584,-99.23476852,Álvaro Obregón,CDMX
140,LOMAS DE PLATEROS (U HAB) I,1000,4675.73,19.36745721,-99.20589372,Álvaro Obregón,CDMX
141,LOMAS DE PLATEROS (U HAB) II,1400,4455.57199,19.36840847,-99.19709203,Álvaro Obregón,CDMX
142,LOMAS DE PUERTA GRANDE,1130,1255.644449,19.35623814,-99.23167681,Álvaro Obregón,CDMX
143,LOMAS DE SAN ANGEL INN,1790,4223.908081,19.34489443,-99.20473999,Álvaro Obregón,CDMX
144,LOMAS DE SANTA FE,1210,5086.32,19.38676554,-99.24107122,Álvaro Obregón,CDMX
145,LOMAS DE SANTA FE II,1219,13973.1903,19.36976315,-99.25946966,Álvaro Obregón,CDMX
146,LOMAS DE SANTO DOMINGO,1100,1499.73,19.39517683,-99.20154067,Álvaro Obregón,CDMX
147,LOMAS DE SANTO DOMINGO (AMPL),1100,1499.73,19.39428319,-99.20213932,Álvaro Obregón,CDMX
148,LOMAS DE TARANGO,1620,1957.65969,19.36323991,-99.21565046,Álvaro Obregón,CDMX
149,LOMAS DE TETELPAN,1030,2938.942126,19.3450234,-99.21623808,Álvaro Obregón,CDMX
150,LORETO,1090,6180.97,19.34080067,-99.19269208,Álvaro Obregón,CDMX
151,LOS CEDROS,1500,1476.84,19.36394133,-99.23861872,Álvaro Obregón,CDMX
152,LOS GAMITOS,1210,1282.28,19.37899668,-99.23858824,Álvaro Obregón,CDMX
153,MARGARITA M DE JUAREZ,1210,1396.618679,19.38186229,-99.23640383,Álvaro Obregón,CDMX
154,MARIA G DE GARCIA RUIZ,1140,2048.649703,19.38760203,-99.21168494,Álvaro Obregón,CDMX
155,MARTIRES DE TACUBAYA,1160,2010.8,19.38701431,-99.21345708,Álvaro Obregón,CDMX
156,MERCED GOMEZ,3930,3043.385196,19.36588377,-99.20018144,Álvaro Obregón,CDMX
157,METROPOLITANO (U HAB),1610,855.6,19.36045673,-99.21829843,Álvaro Obregón,CDMX
158,MIGUEL GAONA ARMENTA,1380,1416.080909,19.35537006,-99.25066176,Álvaro Obregón,CDMX
159,MIGUEL HIDALGO,1080,2318.121421,19.33680178,-99.21497684,Álvaro Obregón,CDMX
160,MILPA DEL CEDRO,1505,1026.066667,19.35359241,-99.25692152,Álvaro Obregón,CDMX
161,MINAS DE CRISTO,1180,1655.004556,19.37987806,-99.20037443,Álvaro Obregón,CDMX
162,MOLINO DE ROSAS,1400,2767.479264,19.37244774,-99.19939143,Álvaro Obregón,CDMX
163,MOLINO DE ROSAS (AMPL),1410,2768.64,19.36995095,-99.20150713,Álvaro Obregón,CDMX
164,MOLINO DE SANTO DOMINGO,1100,2032.97,19.39400066,-99.20788179,Álvaro Obregón,CDMX
165,MOLINO DE SANTO DOMINGO (U HAB),1100,2047.48,19.39344058,-99.2036343,Álvaro Obregón,CDMX
166,OCHO DE AGOSTO,1140,4188.303944,19.39319529,-99.18944717,Álvaro Obregón,CDMX
167,OCOTILLOS,1700,1963.213885,19.34058837,-99.23781207,Álvaro Obregón,CDMX
168,OLIVAR DE LOS PADRES,1780,3030.193166,19.33738268,-99.22896012,Álvaro Obregón,CDMX
169,OLIVAR DEL CONDE 1RA SECCION I,1400,1950.142662,19.37526528,-99.20469722,Álvaro Obregón,CDMX
170,OLIVAR DEL CONDE 1RA SECCION II,1100,1910.510971,19.37466257,-99.2098116,Álvaro Obregón,CDMX
171,OLIVAR DEL CONDE 2DA SECCION I,1298,1435.28,19.37220858,-99.21595357,Álvaro Obregón,CDMX
172,OLIVAR DEL CONDE 2DA SECCION II,1408,1435.28,19.37153664,-99.22043588,Álvaro Obregón,CDMX
173,PALMAS,1110,1483.05,19.37631268,-99.21283614,Álvaro Obregón,CDMX
174,PALMAS AXOTITLA,1410,1163.226213,19.35299046,-99.23677775,Álvaro Obregón,CDMX
175,PARAJE EL CABALLITO,1856,1029.665273,19.31505617,-99.27141997,Álvaro Obregón,CDMX
176,PARQUE RESIDENCIAL SAN ANTONIO (U HAB),1180,4299.89,19.38637619,-99.19276246,Álvaro Obregón,CDMX
177,PASEO DE LAS LOMAS-SAN GABRIEL,1330,8620.421074,19.37197111,-99.26404403,Álvaro Obregón,CDMX
178,PILOTO (ADOLFO LOPEZ MATEOS),1290,1368.571217,19.37192888,-99.23257106,Álvaro Obregón,CDMX
179,PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),1290,1320.378872,19.37211594,-99.22664292,Álvaro Obregón,CDMX
180,PODER POPULAR,1600,2420.77,19.3639673,-99.20259616,Álvaro Obregón,CDMX
181,POLVORA,1100,2008.542353,19.39223691,-99.20474643,Álvaro Obregón,CDMX
182,PONCIANO ARRIAGA,1600,1291.550667,19.35767486,-99.22731075,Álvaro Obregón,CDMX
183,PRADOS LA PROVIDENCIA,1550,1342.123428,19.35765639,-99.23805976,Álvaro Obregón,CDMX
184,PREDIO LA ANGOSTURA,1780,3137.23,19.32479599,-99.23956402,Álvaro Obregón,CDMX
185,PRESIDENTES,1290,1545.37,19.37804759,-99.22189457,Álvaro Obregón,CDMX
186,PRESIDENTES 1RA (AMPL),1259,1545.37,19.37640986,-99.22484364,Álvaro Obregón,CDMX
187,PRESIDENTES 2DA (AMPL),1160,1545.37,19.37407171,-99.22782018,Álvaro Obregón,CDMX
188,PRIVADA CENTENARIO,1430,1659.2,19.36099201,-99.23047737,Álvaro Obregón,CDMX
189,PROF JOSE ARTURO LOPEZ,1610,855.6,19.35963563,-99.21991965,Álvaro Obregón,CDMX
190,PROGRESO TIZAPAN,1000,3448.640872,19.33954902,-99.2050799,Álvaro Obregón,CDMX
191,PUEBLO NUEVO,1240,1678.077945,19.38108892,-99.23834892,Álvaro Obregón,CDMX
192,PUENTE COLORADO,1730,2202.764701,19.34798085,-99.2308624,Álvaro Obregón,CDMX
193,PUENTE COLORADO (AMPL),1730,1336.880828,19.34580099,-99.2295125,Álvaro Obregón,CDMX
194,PUNTA DE CEHUAYO,1540,1057.83,19.36070141,-99.24133369,Álvaro Obregón,CDMX
195,REACOMODO EL CUERNITO,1220,1509.196793,19.38285753,-99.2085476,Álvaro Obregón,CDMX
196,REACOMODO PINO SUAREZ,1130,2194.91,19.39594951,-99.20408019,Álvaro Obregón,CDMX
197,REAL DEL MONTE,1125,1499.73,19.39600961,-99.20190164,Álvaro Obregón,CDMX
198,RESIDENCIAL MARIA ISABEL,1780,2949.47,19.3354388,-99.22333701,Álvaro Obregón,CDMX
199,RINCON DE LA BOLSA,1800,1233.2,19.33179035,-99.25246027,Álvaro Obregón,CDMX
200,SAN ANGEL,1000,9364.296856,19.34611539,-99.19137078,Álvaro Obregón,CDMX
201,SAN ANGEL INN,1000,7740.471654,19.34905528,-99.1979807,Álvaro Obregón,CDMX
202,SAN BARTOLO AMEYALCO (PBLO),1800,1944.360464,19.33139269,-99.26782735,Álvaro Obregón,CDMX
203,SAN CLEMENTE,1740,2261.609972,19.34898926,-99.22573149,Álvaro Obregón,CDMX
204,SAN GABRIEL,1310,2931.46,19.37935908,-99.25586495,Álvaro Obregón,CDMX
205,SAN PEDRO DE LOS PINOS,1150,4299.89,19.38956241,-99.1910951,Álvaro Obregón,CDMX
206,SANTA FE,1376,2857.838276,19.38290089,-99.23913198,Álvaro Obregón,CDMX
207,SANTA FE (U HAB),1120,2349.13,19.38864258,-99.20651279,Álvaro Obregón,CDMX
208,SANTA FE KM 8.5,1210,2840.195122,19.37979653,-99.24746741,Álvaro Obregón,CDMX
209,SANTA LUCIA,1500,1324.075852,19.35746316,-99.2544876,Álvaro Obregón,CDMX
210,SANTA LUCIA (PBLO),1500,1381.377872,19.35843613,-99.25669404,Álvaro Obregón,CDMX
211,SANTA LUCIA REACOMODO,1500,1043.72,19.35570526,-99.25906867,Álvaro Obregón,CDMX
212,SANTA MARIA NONOALCO,1420,2729.68,19.38010595,-99.19387354,Álvaro Obregón,CDMX
213,SANTA ROSA XOCHIAC (PBLO),1830,865.8377866,19.32841171,-99.28540909,Álvaro Obregón,CDMX
214,SEARS ROEBUCK (U HAB),1120,2400.71,19.40094836,-99.19535637,Álvaro Obregón,CDMX
215,TARANGO (U HAB),1618,2818.65,19.36042508,-99.22362978,Álvaro Obregón,CDMX
216,TECOLALCO,1230,1282.28,19.37901543,-99.23712474,Álvaro Obregón,CDMX
217,TEJOCOTE,1240,812.3,19.38269971,-99.2177057,Álvaro Obregón,CDMX
218,TEPEACA,1550,1246.62,19.35886613,-99.23673317,Álvaro Obregón,CDMX
219,TEPEACA (AMPL),1550,1057.83,19.36102135,-99.23459373,Álvaro Obregón,CDMX
220,TEPOPOTLA,1538,973.1437634,19.36206991,-99.25153514,Álvaro Obregón,CDMX
221,TETELPAN,1700,1974.239579,19.34042823,-99.23347025,Álvaro Obregón,CDMX
222,TETELPAN (PBLO),1200,2344.710993,19.34210106,-99.22530197,Álvaro Obregón,CDMX
223,TETLALPAN,1507,1043.72,19.35459634,-99.25777875,Álvaro Obregón,CDMX
224,TIZAMPAMPANO,1700,2793.65,19.34212119,-99.22083314,Álvaro Obregón,CDMX
225,TIZAPAN_TIZAPAN SAN ANGEL,1000,6465.30461,19.3361753,-99.20104786,Álvaro Obregón,CDMX
226,TLACOPAC,1000,7041.332867,19.35494255,-99.19384017,Álvaro Obregón,CDMX
227,TLACOYAQUE,1600,994.9908889,19.32147897,-99.26525448,Álvaro Obregón,CDMX
228,TLACOYAQUE (AMPL),1859,961.2532877,19.32214243,-99.26825189,Álvaro Obregón,CDMX
229,TLACOYAQUE (BARR),1859,1171.91,19.32376693,-99.26629229,Álvaro Obregón,CDMX
230,TLACUITLAPA,1600,1339.741044,19.35346994,-99.24079762,Álvaro Obregón,CDMX
231,TLACUITLAPA 2DO REACOMODO (AMPL),1650,1335.376818,19.35443655,-99.23544785,Álvaro Obregón,CDMX
232,TLAPECHICO,1210,1320.71,19.37812978,-99.24393041,Álvaro Obregón,CDMX
233,TOLTECA,1140,1788.36,19.39179951,-99.19613571,Álvaro Obregón,CDMX
234,TORRES DE MIXCOAC (U HAB),1480,2768.64,19.37113684,-99.19324472,Álvaro Obregón,CDMX
235,TORRES DE POTRERO,1840,1360.097044,19.32999704,-99.24918156,Álvaro Obregón,CDMX
236,TORRES SAN ANTONIO (U HAB),1180,4299.89,19.38510814,-99.19465567,Álvaro Obregón,CDMX
237,TORRES SAN PEDRO (U HAB),1150,4299.89,19.39249693,-99.19240187,Álvaro Obregón,CDMX
238,UNIDAD POPULAR TEPEACA,1550,1735.22,19.3593324,-99.23954366,Álvaro Obregón,CDMX
239,UNION OLIVOS,1290,1108.463143,19.36413509,-99.25011458,Álvaro Obregón,CDMX
240,UNION POPULAR EMILIANO ZAPATA (U HAB),1400,1824.38,19.3713077,-99.20985359,Álvaro Obregón,CDMX
241,VALENTIN GOMEZ FARIAS,1430,1376.502447,19.35958734,-99.23251468,Álvaro Obregón,CDMX
242,VILLA PROGRESISTA,1540,1375.854259,19.35646044,-99.24216233,Álvaro Obregón,CDMX
243,VILLA SOLIDARIDAD,1275,958.4197872,19.38313984,-99.21936425,Álvaro Obregón,CDMX
244,VILLA VERDUN,1480,2542.32478,19.33869692,-99.25693567,Álvaro Obregón,CDMX
245,ZENON DELGADO,1120,2010.8,19.38852888,-99.21582611,Álvaro Obregón,CDMX
246,ZOTOLTITLA,1650,1119.84,19.35251384,-99.23494353,Álvaro Obregón,CDMX
0,AGUILERA,2900,2612.110723,19.47280797,-99.15586832,Azcapotzalco,CDMX
1,ALDANA,2900,1932.008517,19.47078805,-99.14998174,Azcapotzalco,CDMX
2,AMPLIACION PETROLERA,2460,2353.03,19.48294324,-99.1948792,Azcapotzalco,CDMX
3,ANGEL ZIMBRON,2080,2753.097422,19.46740333,-99.18908268,Azcapotzalco,CDMX
4,ARENAL,2960,2318.07,19.46494795,-99.15210624,Azcapotzalco,CDMX
5,CENTRO DE AZCAPOTZALCO,2000,3111.17,19.48092136,-99.18624676,Azcapotzalco,CDMX
6,CLAVERIA,2030,2650.011689,19.46602424,-99.18193702,Azcapotzalco,CDMX
7,COLTONGO,2230,2467.22,19.48165523,-99.15339524,Azcapotzalco,CDMX
8,COSMOPOLITA,2650,2651.236543,19.47482126,-99.16325106,Azcapotzalco,CDMX
9,COSMOPOLITA (AMPL),2290,2729.530538,19.47230245,-99.16080093,Azcapotzalco,CDMX
10,CRUZ ROJA TEPANTONGO (U HAB),2120,2541.94,19.50025014,-99.18482509,Azcapotzalco,CDMX
11,CUITLHUAC 1 Y 2 (U HAB),2500,4725.731474,19.47215726,-99.16758579,Azcapotzalco,CDMX
12,CUITLHUAC 3 Y 4 (U HAB),2500,4319.689222,19.47237535,-99.17197288,Azcapotzalco,CDMX
13,DEL GAS,2900,1832.362242,19.47048187,-99.15920632,Azcapotzalco,CDMX
14,DEL GAS (AMPL),2790,1832.42,19.46605672,-99.15755801,Azcapotzalco,CDMX
15,DEL MAESTRO,2000,2213.86,19.48246656,-99.18216967,Azcapotzalco,CDMX
16,DEL RECREO,2000,2510.09,19.47314369,-99.18414864,Azcapotzalco,CDMX
17,DEMET (U HAB),2020,2541.94,19.48751056,-99.18095026,Azcapotzalco,CDMX
18,ECOLOGICA NOVEDADES IMPACTO (U HAB),2000,2541.94,19.50799555,-99.19046228,Azcapotzalco,CDMX
19,EL JAGUEY-ESTACION PANTACO,2000,2535.112564,19.48587584,-99.17255979,Azcapotzalco,CDMX
20,EL ROSARIO A (U HAB),2100,3185.17,19.51109069,-99.20721938,Azcapotzalco,CDMX
