nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price,flag_airbnb,flag_starbucks,valor_unitario_pred,cambio_porcentual
LOMAS DE PADIERNA (AMPL),14240,4766.74,19.29699623,-99.22009923,Tlalpan,CDMX,15,0,550,,,4766.74,0%
PANTITLAN IV,8100,5726,19.40833584,-99.06649631,Iztacalco,CDMX,30,0,580.5333333,,,5726,0%
DEL BOSQUE (POLANCO),11570,16057.34606,19.43464395,-99.20950454,Miguel Hidalgo,CDMX,371,4,2080.590296,,,16057.34606,0%
LA OTRA BANDA,1000,8381.417315,19.33654872,-99.1970036,Álvaro Obregón,CDMX,81,2,1585.604938,,,8381.417315,0%
GRAL C  A  MADRAZO,1320,5178.804379,19.37919556,-99.25088979,Álvaro Obregón,CDMX,100,0,1513.86,,,5178.804379,0%
CENTRO I,15810,4835.628607,19.43332475,-99.12256685,Venustiano Carranza,CDMX,49,0,788.5102041,,,4835.628607,0%
LOMAS DE SANTA FE II,1219,13973.1903,19.36976315,-99.25946966,Álvaro Obregón,CDMX,32,6,1294.9375,,,13973.1903,0%
HACIENDA DE GUADALUPE CHIMALISTAC,1030,7982.506885,19.35042737,-99.18127926,Álvaro Obregón,CDMX,72,2,1103.236111,,,7982.506885,0%
RINCON DEL BOSQUE,11600,15569.74791,19.42938542,-99.18125623,Miguel Hidalgo,CDMX,536,3,1622.516791,,,15569.74791,0%
JARDINES DEL PEDREGAL,4500,5844.597116,19.30692128,-99.19024741,Coyoacán,CDMX,23,0,1235.913043,,,5844.597116,0%
LOMAS DE PLATEROS (U HAB) II,1400,4455.57199,19.36840847,-99.19709203,Álvaro Obregón,CDMX,50,0,824.54,,,4455.57199,0%
BELEN DE LAS FLORES (U HAB),1150,4004.53,19.38529804,-99.22311949,Álvaro Obregón,CDMX,15,0,409.6666667,,,4004.53,0%
GRANJAS COAPA,14430,4546.269066,19.29581918,-99.11392084,Tlalpan,CDMX,32,0,652.34375,,,4546.269066,0%
INSURGENTES CUICUILCO,4530,5780.307133,19.30522149,-99.1820913,Coyoacán,CDMX,47,0,875.6170213,,,5780.307133,0%
CHIMALISTAC,1000,8097.484725,19.34380945,-99.18681014,Álvaro Obregón,CDMX,129,2,1272.581395,,,8097.484725,0%
ROMERO DE TERREROS (COND),4310,9185.15,19.34448595,-99.18044128,Coyoacán,CDMX,97,2,1165.164948,,,9185.15,0%
LOMAS DE SAN ANGEL INN,1790,4223.908081,19.34489443,-99.20473999,Álvaro Obregón,CDMX,53,0,750.6037736,,,4223.908081,0%
CHAPULTEPEC POLANCO (POLANCO),11850,17445.09791,19.42950071,-99.19806545,Miguel Hidalgo,CDMX,414,6,3427.519324,,,17445.09791,0%
PASEOS DE TAXQUEA I,4250,5587.918783,19.34850287,-99.12352009,Coyoacán,CDMX,53,0,725.0754717,,,5587.918783,0%
ARTES GRAFICAS,15870,4173.951542,19.41127225,-99.12610513,Venustiano Carranza,CDMX,40,0,840.775,,,4173.951542,0%
GRANJAS COAPA ORIENTE,14390,4093.301303,19.29795965,-99.10805341,Tlalpan,CDMX,22,0,765.5909091,,,4093.301303,0%
CAROLA,1180,4299.89,19.38493499,-99.19663667,Álvaro Obregón,CDMX,77,0,930.025974,,,4299.89,0%
MERCED BALBUENA,15810,4014.01822,19.41978227,-99.12375343,Venustiano Carranza,CDMX,28,0,1396.964286,,,4014.01822,0%
TLACOPAC,1000,7041.332867,19.35494255,-99.19384017,Álvaro Obregón,CDMX,72,2,1520.361111,,,7041.332867,0%
EXTREMADURA INSURGENTES,3000,7036.325875,19.37656764,-99.18092339,Benito Juárez,CDMX,200,0,998.665,,,7036.325875,0%
AGRICOLA ORIENTAL I,8500,4809,19.40234107,-99.07669727,Iztacalco,CDMX,32,0,639.125,,,4809,0%
ACACIAS,3240,8528.577114,19.36367622,-99.17367551,Benito Juárez,CDMX,211,1,939.8483412,,,8528.577114,0%
DEL VALLE V,3100,8793.208281,19.37651476,-99.16868812,Benito Juárez,CDMX,249,1,1188.883534,,,8793.208281,0%
COPILCO UNIVERSIDAD,4310,6069.389482,19.3362613,-99.18025302,Coyoacán,CDMX,125,0,837.68,,,6069.389482,0%
EX EJIDO DE CHURUBUSCO,4250,6954.33,19.34001459,-99.13029,Coyoacán,CDMX,75,1,685.8533333,,,6954.33,0%
LORENZO BOTURINI,15960,3943.998204,19.41634105,-99.1251438,Venustiano Carranza,CDMX,32,0,1260.9375,,,3943.998204,0%
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 1 (U HAB),14390,4191.071013,19.29217522,-99.12876012,Tlalpan,CDMX,49,0,1019.693878,,,4191.071013,0%
TORRES SAN ANTONIO (U HAB),1180,4299.89,19.38510814,-99.19465567,Álvaro Obregón,CDMX,95,0,860.4947368,,,4299.89,0%
VILLA PANAMERICANA 6TA. SECCIN (U HAB),4700,5112.97,19.31106294,-99.16975358,Coyoacán,CDMX,36,0,776.6388889,,,5112.97,0%
IMAN 580 (U HAB),4000,5112.97,19.31020916,-99.17172696,Coyoacán,CDMX,39,0,767.5897436,,,5112.97,0%
JAMAICA,15870,3911.228133,19.40695731,-99.12485109,Venustiano Carranza,CDMX,36,0,647.6111111,,,3911.228133,0%
CENTRO VII,6000,6309.28277,19.42988122,-99.12809134,Cuauhtémoc,CDMX,192,0,1243.598958,,,6309.28277,0%
PANTITLAN I,8100,4463,19.41663869,-99.06700054,Iztacalco,CDMX,24,0,1240.166667,,,4463,0%
NOCHE BUENA,3710,7113.239654,19.38097299,-99.17862201,Benito Juárez,CDMX,256,0,965.015625,,,7113.239654,0%
TRANSITO,6080,4923.840067,19.4194637,-99.13151476,Cuauhtémoc,CDMX,55,0,825.1454545,,,4923.840067,0%
PEDREGAL DEL MAUREL,4100,5112.97,19.30879177,-99.17475808,Coyoacán,CDMX,54,0,847.1481481,,,5112.97,0%
INSURGENTES SAN BORJA,3100,9079.361576,19.38383872,-99.17430615,Benito Juárez,CDMX,332,1,1006.177711,,,9079.361576,0%
LINDAVISTA VALLEJO (U HAB),7790,4355.576026,19.4964389,-99.15016824,Gustavo A. Madero,CDMX,8,0,496.25,,,4355.576026,0%
VILLA PANAMERICANA 3ERA. SECCIN (U HAB),4700,5112.97,19.30768187,-99.17213921,Coyoacán,CDMX,57,0,792,,,5112.97,0%
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 7 (U HAB),14390,3906.738715,19.29058682,-99.12372087,Tlalpan,CDMX,38,0,503.5526316,,,3906.738715,0%
CENTRO URBANO PRESIDENTE ALEMAN (U HAB),3100,10774.04934,19.37094699,-99.17208938,Benito Juárez,CDMX,237,3,1015.814346,,,10774.04934,0%
VILLA PANAMERICANA 1ERA. SECCIN (U HAB),4360,5112.97,19.3049739,-99.17840978,Coyoacán,CDMX,60,0,862.1833333,,,5112.97,0%
CENTRO URBANO (U HAB),4700,5112.97,19.30687418,-99.17433364,Coyoacán,CDMX,60,0,850.4833333,,,5112.97,0%
PEDREGAL DE SAN ANGEL (AMPL),4500,4679.914906,19.30684629,-99.19727903,Coyoacán,CDMX,14,0,1693.357143,,,4679.914906,0%
CIUDAD DE LOS DEPORTES,3100,7443.564527,19.38362627,-99.17979919,Benito Juárez,CDMX,304,0,992.6611842,,,7443.564527,0%
SAN ANGEL,1000,9364.296856,19.34611539,-99.19137078,Álvaro Obregón,CDMX,106,4,1399.160377,,,9364.296856,0%
NONOALCO-TLATELOLCO (U HAB) III,6900,5321.808357,19.45218747,-99.13467429,Cuauhtémoc,CDMX,107,0,758.0654206,,,5321.808357,0%
DOCTORES V,6720,5044.748177,19.41073231,-99.14638922,Cuauhtémoc,CDMX,77,0,990.6363636,,,5044.748177,0%
SAN JOSE INSURGENTES,3900,7618.185221,19.36602411,-99.18538437,Benito Juárez,CDMX,184,1,1249.923913,,,7618.185221,0%
ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),4000,4778.68,19.31697979,-99.11774123,Coyoacán,CDMX,26,0,382.5,,,4778.68,0%
COUNTRY CLUB,4210,5536.712398,19.35132108,-99.14306305,Coyoacán,CDMX,109,0,701.8165138,,,5536.712398,0%
VILLA PANAMERICANA 2DA. SECCIN (U HAB),4360,5112.97,19.30642085,-99.17628901,Coyoacán,CDMX,64,0,833,,,5112.97,0%
GUERRERO II,6300,5569.632524,19.44701367,-99.13989303,Cuauhtémoc,CDMX,141,0,788.9432624,,,5569.632524,0%
VERONICA ANZURES,11300,9216.572375,19.43599028,-99.17339436,Miguel Hidalgo,CDMX,602,0,3016.270764,,,9216.572375,0%
VILLA PANAMERICANA 5TA. SECCIN (U HAB),4700,5112.97,19.30899324,-99.16832673,Coyoacán,CDMX,71,0,896.4929577,,,5112.97,0%
VILLAS DEL PEDREGAL (U HAB),4000,5112.97,19.30463507,-99.17472903,Coyoacán,CDMX,71,0,829.7323944,,,5112.97,0%
MORALES SECCION PALMAS (POLANCO),11591,16298.12289,19.43670398,-99.20401075,Miguel Hidalgo,CDMX,692,5,3465.106936,,,16298.12289,0%
LA FAMA,14410,3786.447019,19.29104574,-99.17752588,Tlalpan,CDMX,37,0,518.6216216,,,3786.447019,0%
INTEGRACION LATINOAMERICANA (U HAB),4350,5723.438994,19.33814638,-99.17874115,Coyoacán,CDMX,142,0,831.6197183,,,5723.438994,0%
LOS OLIVOS (U HAB),4890,5970.23,19.31257104,-99.13426627,Coyoacán,CDMX,29,1,737.137931,,,5970.23,0%
LA PATERA-CONDOMODULOS (U HAB),7720,4232.978574,19.50469602,-99.15497923,Gustavo A. Madero,CDMX,11,0,730.4545455,,,4232.978574,0%
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 3 (U HAB),14390,3707.48,19.28761182,-99.12407659,Tlalpan,CDMX,31,0,541.9677419,,,3707.48,0%
SCT (U HAB),7770,4214.41,19.50768733,-99.15676211,Gustavo A. Madero,CDMX,11,0,694.0909091,,,4214.41,0%
BOSQUE RESIDENCIAL DEL SUR (FRACC),16100,3450.511237,19.28024522,-99.12997372,Xochimilco,CDMX,26,0,839.3461538,,,3450.511237,0%
HUICHAPAN,16050,3265.430992,19.2633053,-99.11700934,Xochimilco,CDMX,7,0,2229.428571,,,3265.430992,0%
EL CUERNITO,1220,3210.05,19.3889876,-99.22271626,Álvaro Obregón,CDMX,11,0,412.7272727,,,3210.05,0%
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 6 (U HAB),14390,3720.974479,19.29255838,-99.12118325,Tlalpan,CDMX,37,0,525.4864865,,,3720.974479,0%
IMAN,4530,5112.97,19.30782753,-99.16653915,Coyoacán,CDMX,84,0,991.5833333,,,5112.97,0%
LOMAS DE SOTELO,11200,5504.83,19.44905549,-99.2150497,Miguel Hidalgo,CDMX,66,1,960.5,,,5504.83,0%
VILLA PANAMERICANA 4TA. SECCIN (U HAB),4700,5112.97,19.3070104,-99.16940591,Coyoacán,CDMX,85,0,910.7294118,,,5112.97,0%
LA MAGDALENA CULHUACAN (BARR),4260,4601.93244,19.3422082,-99.119333,Coyoacán,CDMX,27,0,705.2222222,,,4601.93244,0%
10 DE MAYO,15299,3386.010092,19.43364251,-99.117868,Venustiano Carranza,CDMX,12,0,651.3333333,,,3386.010092,0%
BOSQUES DE LAS LOMAS,5000,5798.997818,19.38684789,-99.25766081,Cuajimalpa,CDMX,36,1,1683.083333,,,5798.997818,0%
CUITLHUAC 1 Y 2 (U HAB),2500,4725.731474,19.47215726,-99.16758579,Azcapotzalco,CDMX,21,0,750.047619,,,4725.731474,0%
MORELOS I,15720,3372.002527,19.44477831,-99.12305241,Venustiano Carranza,CDMX,11,0,564.9090909,,,3372.002527,0%
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 2 (U HAB),14390,3727.395264,19.28952362,-99.12743131,Tlalpan,CDMX,41,0,807.3658537,,,3727.395264,0%
VILLA PANAMERICANA 7MA. SECCIN (U HAB),4700,5112.97,19.30392025,-99.16727237,Coyoacán,CDMX,90,0,840.3777778,,,5112.97,0%
CENTRO VI,6060,6738.990224,19.42483596,-99.13482034,Cuauhtémoc,CDMX,299,0,1391.438127,,,6738.990224,0%
PREDIO LA ANGOSTURA,1780,3137.23,19.32479599,-99.23956402,Álvaro Obregón,CDMX,9,0,949.6666667,,,3137.23,0%
ALPES,1010,5101.801534,19.36014219,-99.19400993,Álvaro Obregón,CDMX,95,1,1378.768421,,,5101.801534,0%
TLACOQUEMECATL DEL VALLE,3200,7594.874563,19.37637407,-99.17490182,Benito Juárez,CDMX,226,1,1124.004425,,,7594.874563,0%
TLALPAN CENTRO,14410,3792.780791,19.28731886,-99.17126989,Tlalpan,CDMX,58,0,551.8103448,,,3792.780791,0%
EMILIO CARRANZA,15300,3340.517509,19.4492032,-99.12045137,Venustiano Carranza,CDMX,17,0,539.2352941,,,3340.517509,0%
JARDINES DE COYOACAN (FRACC),4810,4442.118908,19.31399057,-99.12694142,Coyoacán,CDMX,25,0,748.16,,,4442.118908,0%
SAN BARTOLO EL CHICO,16020,3349.569565,19.2831822,-99.1288983,Xochimilco,CDMX,31,0,794.516129,,,3349.569565,0%
NONOALCO-TLATELOLCO (U HAB) II,6140,5084.39,19.45324762,-99.14187227,Cuauhtémoc,CDMX,125,0,499.368,,,5084.39,0%
MORELOS II,15940,3272.403381,19.44215208,-99.11909439,Venustiano Carranza,CDMX,13,0,555.1538462,,,3272.403381,0%
POPOTLA II,11900,4221.40806,19.45229377,-99.18058771,Miguel Hidalgo,CDMX,81,0,865.2716049,,,4221.40806,0%
EL PARQUE DE COYOACAN (FRACC),4899,4421.715666,19.31101348,-99.1310007,Coyoacán,CDMX,27,0,644.9259259,,,4421.715666,0%
ALAMOS II,3400,5520.486587,19.39460152,-99.14238722,Benito Juárez,CDMX,146,0,623.8219178,,,5520.486587,0%
GRANADA,11570,11806.45106,19.44006482,-99.19259753,Miguel Hidalgo,CDMX,559,3,5869.386404,,,11806.45106,0%
ESTADO DE HIDALGO,1120,3023.996013,19.3996005,-99.20616867,Álvaro Obregón,CDMX,7,0,672.4285714,,,3023.996013,0%
PENITENCIARIA (AMPL),15390,3257.881364,19.43643484,-99.11850559,Venustiano Carranza,CDMX,13,0,593.6153846,,,3257.881364,0%
LA NORIA,16050,3082.179077,19.2652324,-99.12309149,Xochimilco,CDMX,4,0,424.75,,,3082.179077,0%
POLANCO REFORMA (POLANCO),11591,17454.40224,19.43442019,-99.19592595,Miguel Hidalgo,CDMX,819,6,5156.583639,,,17454.40224,0%
EL MIRADOR,4950,4344.85388,19.30222899,-99.10872701,Coyoacán,CDMX,22,0,654.4545455,,,4344.85388,0%
NAPOLES (AMPL),3710,9109.335788,19.38724849,-99.17799363,Benito Juárez,CDMX,439,1,1092.528474,,,9109.335788,0%
SANTA CATARINA (BARR),4010,5570.656725,19.34821336,-99.17260928,Coyoacán,CDMX,170,0,1223.294118,,,5570.656725,0%
LAS CABAAS,4850,4373.05,19.31106677,-99.12743645,Coyoacán,CDMX,28,0,722.1428571,,,4373.05,0%
LORETO,1090,6180.97,19.34080067,-99.19269208,Álvaro Obregón,CDMX,108,2,1261.222222,,,6180.97,0%
MANUEL AVILA CAMACHO,11610,3516.1,19.43743722,-99.22864325,Miguel Hidalgo,CDMX,4,0,1222.5,,,3516.1,0%
VIADUCTO  - BALBUENA )CONJ HAB),15950,3281.026996,19.40754566,-99.11012706,Venustiano Carranza,CDMX,21,0,925.7142857,,,3281.026996,0%
ARENAL GUADALUPE TLALPAN,14389,3433.288712,19.28614765,-99.14588468,Tlalpan,CDMX,28,0,616.6428571,,,3433.288712,0%
CALVARIO CAMISETAS,14420,3530.425976,19.28851268,-99.17833842,Tlalpan,CDMX,41,0,582.4878049,,,3530.425976,0%
VILLA XOCHIMILCO (U HAB),16060,3042.75,19.26700295,-99.12539367,Xochimilco,CDMX,5,0,648.6,,,3042.75,0%
LA HERRADURA,1060,3105.446087,19.34565603,-99.21016613,Álvaro Obregón,CDMX,24,0,697.5833333,,,3105.446087,0%
SAN JUAN,3730,6865.054039,19.37834061,-99.184382,Benito Juárez,CDMX,186,1,893.1344086,,,6865.054039,0%
VALLEJO II,7890,4042.112642,19.46550336,-99.12863106,Gustavo A. Madero,CDMX,30,0,673.6,,,4042.112642,0%
OLIVAR DE LOS PADRES,1780,3030.193166,19.33738268,-99.22896012,Álvaro Obregón,CDMX,20,0,1683.3,,,3030.193166,0%
LOMA HERMOSA (CONJ HAB),11500,5431.288766,19.44601999,-99.21286744,Miguel Hidalgo,CDMX,106,1,971.6037736,,,5431.288766,0%
RINCONADA DEL SUR (U HAB),16505,3021.862125,19.25998337,-99.12013847,Xochimilco,CDMX,9,0,1961.333333,,,3021.862125,0%
BOSQUES DE TARANGO,1500,3267.298598,19.34944692,-99.25109622,Álvaro Obregón,CDMX,51,0,715.1372549,,,3267.298598,0%
CENTRO II,6010,5370.512052,19.4397953,-99.12828031,Cuauhtémoc,CDMX,188,0,1254.015957,,,5370.512052,0%
DEL VALLE VII,3100,9365.441705,19.3688028,-99.17210654,Benito Juárez,CDMX,224,3,1009.5625,,,9365.441705,0%
INDEPENDENCIA SAN RAMON (U HAB),10200,3564.408073,19.33240106,-99.21806712,Magdalena Contreras,CDMX,24,0,21353.75,,,3564.408073,0%
LINDAVISTA II,7300,3837.78443,19.49744764,-99.12932302,Gustavo A. Madero,CDMX,11,0,743.6363636,,,3837.78443,0%
DEL VALLE IV,3100,7286.619857,19.38229733,-99.16776981,Benito Juárez,CDMX,253,1,1066.920949,,,7286.619857,0%
GRANJAS MEXICO I,8400,3921,19.40132045,-99.1081694,Iztacalco,CDMX,35,0,802.5428571,,,3921,0%
HOGARES FERROCARRILEROS (U HAB),2500,4297.67,19.47357233,-99.16540783,Azcapotzalco,CDMX,16,0,730,,,4297.67,0%
ATLAMAYA,1760,4275.98,19.35020885,-99.20219321,Álvaro Obregón,CDMX,40,1,1425.725,,,4275.98,0%
CENTRO III,6020,5409.102184,19.43726674,-99.12801597,Cuauhtémoc,CDMX,200,0,1304.62,,,5409.102184,0%
VILLA DEL PUENTE FOVISSSTE  (U HAB),14370,3225.243836,19.29638053,-99.1062793,Tlalpan,CDMX,17,0,811.4117647,,,3225.243836,0%
VALLEJO I,7880,3956.592761,19.46772618,-99.13441583,Gustavo A. Madero,CDMX,31,0,966.9032258,,,3956.592761,0%
HUICHAPAN,11290,3644.992067,19.46029105,-99.19638565,Miguel Hidalgo,CDMX,38,0,979.4473684,,,3644.992067,0%
ESPERANZA,6840,4113.345893,19.42086551,-99.12861177,Cuauhtémoc,CDMX,41,0,865.7560976,,,4113.345893,0%
CUITLHUAC 3 Y 4 (U HAB),2500,4319.689222,19.47237535,-99.17197288,Azcapotzalco,CDMX,23,0,573.0869565,,,4319.689222,0%
RESIDENCIAL MARIA ISABEL,1780,2949.47,19.3354388,-99.22333701,Álvaro Obregón,CDMX,20,0,786.45,,,2949.47,0%
TORRE BLANCA,11410,3715.459819,19.4575345,-99.19464946,Miguel Hidalgo,CDMX,51,0,921.8627451,,,3715.459819,0%
FLOR DE MARIA,1040,4117.480826,19.349399,-99.20517366,Álvaro Obregón,CDMX,28,1,1194.357143,,,4117.480826,0%
MERCED GOMEZ,3930,6288.754927,19.36547549,-99.18984561,Benito Juárez,CDMX,147,1,1182.755102,,,6288.754927,0%
7 DE JULIO,15390,3062.297322,19.43253825,-99.1136382,Venustiano Carranza,CDMX,14,0,514.5,,,3062.297322,0%
ANAHUAC LOS MANZANOS,11550,5523.487439,19.44507498,-99.18464723,Miguel Hidalgo,CDMX,282,0,1678.617021,,,5523.487439,0%
JANITZIO,15270,3031.528168,19.44743444,-99.11751503,Venustiano Carranza,CDMX,11,0,497.7272727,,,3031.528168,0%
PASEOS DE CHURUBUSCO,9730,3555.687332,19.38568612,-99.08636123,Iztapalapa,CDMX,12,0,663.5,,,3555.687332,0%
REFORMA SOCIAL,11650,8110.495781,19.43208173,-99.21550729,Miguel Hidalgo,CDMX,194,3,2987.608247,,,8110.495781,0%
ANGEL ZIMBRON,11410,3567.75,19.46283957,-99.1890056,Miguel Hidalgo,CDMX,37,0,991.4594595,,,3567.75,0%
LOMAS DE TETELPAN,1030,2938.942126,19.3450234,-99.21623808,Álvaro Obregón,CDMX,24,0,1225.75,,,2938.942126,0%
TARANGO (U HAB),1618,2818.65,19.36042508,-99.22362978,Álvaro Obregón,CDMX,9,0,1425.444444,,,2818.65,0%
FELIPE ANGELES,15310,3020.98,19.45312572,-99.112434,Venustiano Carranza,CDMX,12,0,492.9166667,,,3020.98,0%
GENERAL PEDRO MARIA ANAYA,3000,5941.398729,19.36109407,-99.15922201,Benito Juárez,CDMX,252,0,1181.563492,,,5941.398729,0%
TACUBA,11450,3709.634488,19.45579449,-99.18693446,Miguel Hidalgo,CDMX,56,0,748.7321429,,,3709.634488,0%
PALMITAS (POLANCO),11800,14939.54869,19.43033324,-99.20386127,Miguel Hidalgo,CDMX,366,8,2798.571038,,,14939.54869,0%
CTM X CULHUACAN (U HAB),4480,4103.760838,19.30792835,-99.11043494,Coyoacán,CDMX,29,0,665.9655172,,,4103.760838,0%
ALAMOS I,3400,5466.815399,19.4004091,-99.14088985,Benito Juárez,CDMX,193,0,844.8549223,,,5466.815399,0%
MICHOACANA,15250,3020.98,19.44696192,-99.11557088,Venustiano Carranza,CDMX,14,0,522.3571429,,,3020.98,0%
ACUEDUCTO DE GUADALUPE (U HAB),7279,3615.738464,19.52697053,-99.1505314,Gustavo A. Madero,CDMX,2,0,925,,,3615.738464,0%
PASEOS DE TAXQUEA II,4250,5444.474545,19.3432987,-99.1249931,Coyoacán,CDMX,64,1,773.109375,,,5444.474545,0%
MICHOACANA (AMPL),15250,3020.98,19.4482982,-99.11308566,Venustiano Carranza,CDMX,16,0,513.75,,,3020.98,0%
ALGARIN,6880,4923.35077,19.40556734,-99.14046915,Cuauhtémoc,CDMX,162,0,877.2345679,,,4923.35077,0%
SANTA FE,1376,2857.838276,19.38290089,-99.23913198,Álvaro Obregón,CDMX,18,0,935.8888889,,,2857.838276,0%
