nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
EMILIANO ZAPATA,7889,1981.83,19.46141462,-99.11778041,Gustavo A. Madero,CDMX
EMILIANO ZAPATA (AMPL),7860,1981.83,19.46398241,-99.10572586,Gustavo A. Madero,CDMX
ESTANZUELA,7360,2156.28987,19.49043178,-99.1097769,Gustavo A. Madero,CDMX
ESTRELLA,7810,2738.244745,19.47514581,-99.11673119,Gustavo A. Madero,CDMX
EX-ESCUELA DE TIRO,7960,1981.83,19.45323929,-99.09969012,Gustavo A. Madero,CDMX
FAJA DE ORO,7860,1981.83,19.46652134,-99.10524958,Gustavo A. Madero,CDMX
FERNANDO CASAS ALEMAN,7960,1981.83,19.45249999,-99.0959227,Gustavo A. Madero,CDMX
FERROCARRILERA INSURGENTES,7495,2530.28,19.48203461,-99.09236489,Gustavo A. Madero,CDMX
FOVISSSTE CUCHILLA (U HAB),7950,2252.96,19.47186652,-99.08755618,Gustavo A. Madero,CDMX
FOVISSSTE RIO DE GUADALUPE (U HAB),7950,2252.96,19.4726636,-99.08841237,Gustavo A. Madero,CDMX
FOVISSTE ARAGON (U HAB),7990,2759.89,19.45358754,-99.06142255,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ,7080,1433.711695,19.49829849,-99.09984059,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ (AMPL) I,7090,1438.198442,19.50324635,-99.09793418,Gustavo A. Madero,CDMX
GABRIEL HERNANDEZ (AMPL) II,7089,1435.25,19.50602632,-99.10378278,Gustavo A. Madero,CDMX
GENERAL FELIPE BERRIOZABAL,7220,585.93,19.55509025,-99.12824178,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 1A SECCION,7830,1981.83,19.46938421,-99.10435571,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 2A SECCION,7839,1981.83,19.46653563,-99.09982967,Gustavo A. Madero,CDMX
GERTRUDIS SANCHEZ 3A SECCION,7880,1981.83,19.46149318,-99.1017218,Gustavo A. Madero,CDMX
GRACIANO SANCHEZ,7210,985.96,19.55683048,-99.14727889,Gustavo A. Madero,CDMX
GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),7950,2243.22,19.47857588,-99.1050828,Gustavo A. Madero,CDMX
GUADALUPE INSURGENTES,7870,3159.191272,19.47344849,-99.13255061,Gustavo A. Madero,CDMX
GUADALUPE PROLETARIA,7760,2044.791965,19.52161808,-99.15554428,Gustavo A. Madero,CDMX
GUADALUPE PROLETARIA (AMPL),7680,1916.098023,19.52159041,-99.15212124,Gustavo A. Madero,CDMX
GUADALUPE TEPEYAC,7890,2950.008809,19.46746128,-99.12069072,Gustavo A. Madero,CDMX
GUADALUPE VICTORIA,7840,938.48,19.53929553,-99.14001731,Gustavo A. Madero,CDMX
GUADALUPE VICTORIA II,7870,2790.364011,19.47140818,-99.14071735,Gustavo A. Madero,CDMX
HEROE DE NACOZARI,7870,2653.709467,19.47098618,-99.14342357,Gustavo A. Madero,CDMX
HEROES DE CHAPULTEPEC,7939,2252.96,19.47387306,-99.09075426,Gustavo A. Madero,CDMX
HORNOS DE ARAGON (U HAB),7950,2252.96,19.47110489,-99.08049139,Gustavo A. Madero,CDMX
INDECO (U HAB),7990,2252.96,19.47331812,-99.08986648,Gustavo A. Madero,CDMX
INDUSTRIAL I,7880,3513.077005,19.47397784,-99.12415656,Gustavo A. Madero,CDMX
INDUSTRIAL II,7870,3165.47363,19.47493839,-99.12834942,Gustavo A. Madero,CDMX
INFONAVIT (U HAB),7330,2716.99,19.51602238,-99.1414472,Gustavo A. Madero,CDMX
INFONAVIT CAMINO SAN JUAN DE ARAGON (U HAB),7950,2252.96,19.4725547,-99.08262122,Gustavo A. Madero,CDMX
INFONAVIT LORETO FABELA (U HAB),7950,2252.96,19.47154907,-99.08030062,Gustavo A. Madero,CDMX
JAIME S EMILIANO G,7210,938.48,19.54778136,-99.13475855,Gustavo A. Madero,CDMX
JORGE NEGRETE,7880,1790.283467,19.52623242,-99.14353058,Gustavo A. Madero,CDMX
JOSE MARIA MORELOS Y PAVON I (U HAB),7459,2530.28,19.48391916,-99.0944814,Gustavo A. Madero,CDMX
JOSE MARIA MORELOS Y PAVON II (U HAB),7970,2425.71,19.47964387,-99.09168566,Gustavo A. Madero,CDMX
JOYAS VALLEJO (U HAB),7620,1918.44,19.52943649,-99.17270847,Gustavo A. Madero,CDMX
JUAN DE DIOS BATIZ (U HAB),7360,3136.06,19.50372083,-99.12972857,Gustavo A. Madero,CDMX
JUAN GONZALEZ ROMERO,7550,1604.13,19.50531561,-99.08967281,Gustavo A. Madero,CDMX
JUVENTINO ROSAS,7230,635.32,19.56275693,-99.13482138,Gustavo A. Madero,CDMX
LA CANDELARIA TICOMAN (BARR),7360,1208.901811,19.52115516,-99.1359427,Gustavo A. Madero,CDMX
LA CASILDA,7180,585.93,19.55624617,-99.12551201,Gustavo A. Madero,CDMX
LA CRUZ (BARR),7730,1357.319794,19.49262454,-99.10200338,Gustavo A. Madero,CDMX
LA ESMERALDA (U HAB),7580,2530.28,19.48930997,-99.08520953,Gustavo A. Madero,CDMX
LA ESMERALDA I,7549,2530.28,19.48658821,-99.08713081,Gustavo A. Madero,CDMX
LA ESMERALDA II,7540,2530.28,19.48590192,-99.08605029,Gustavo A. Madero,CDMX
LA ESMERALDA III,7540,2530.28,19.48481732,-99.08457531,Gustavo A. Madero,CDMX
LA FORESTAL,7440,657.1487065,19.56306359,-99.13108878,Gustavo A. Madero,CDMX
LA FORESTAL 1,7140,635.32,19.56760546,-99.12799916,Gustavo A. Madero,CDMX
LA FORESTAL 2,7140,636.5138294,19.56719582,-99.12696484,Gustavo A. Madero,CDMX
LA FORESTAL 3,7149,626.5444133,19.56997804,-99.12906281,Gustavo A. Madero,CDMX
LA JOYA,7890,1981.83,19.45683908,-99.10898734,Gustavo A. Madero,CDMX
LA JOYITA,7890,1981.83,19.46551396,-99.11680369,Gustavo A. Madero,CDMX
LA LAGUNA TICOMAN (BARR),7360,2467.399795,19.51403556,-99.1304601,Gustavo A. Madero,CDMX
LA MALINCHE,7899,2463.12,19.45287262,-99.10492461,Gustavo A. Madero,CDMX
LA PASTORA,7310,945.7699182,19.52732622,-99.13805796,Gustavo A. Madero,CDMX
LA PATERA-CONDOMODULOS (U HAB),7720,4232.978574,19.50469602,-99.15497923,Gustavo A. Madero,CDMX
LA PRADERA,7560,2048.54,19.47541143,-99.06671436,Gustavo A. Madero,CDMX
LA PRADERA I (U HAB),7500,1944.66475,19.47415473,-99.06277686,Gustavo A. Madero,CDMX
LA PRADERA II (U HAB),7570,2048.54,19.47186364,-99.06410058,Gustavo A. Madero,CDMX
