nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
TACUBAYA,11878,3922.430236,19.39905897,-99.18790984,Miguel Hidalgo,CDMX
POPOTLA I,11900,4170.338401,19.45714395,-99.17823394,Miguel Hidalgo,CDMX
POPOTLA II,11900,4221.40806,19.45229377,-99.18058771,Miguel Hidalgo,CDMX
BOSQUES DE LAS LOMAS,11910,11304.78212,19.40399006,-99.24232527,Miguel Hidalgo,CDMX
LEGARIA (U HAB),11940,2970.45,19.45001518,-99.20098392,Miguel Hidalgo,CDMX
LOMAS DE BEZARES,11940,5654.627436,19.39174301,-99.24135089,Miguel Hidalgo,CDMX
LOMAS ALTAS,11950,6148.034089,19.3976453,-99.23225212,Miguel Hidalgo,CDMX
LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),11950,9690.434094,19.4232067,-99.22615973,Miguel Hidalgo,CDMX
LOMAS DE REFORMA,11950,8310.55702,19.40322,-99.2344659,Miguel Hidalgo,CDMX
DEPORTIVA PENSIL,11970,2950.802014,19.44989927,-99.20203783,Miguel Hidalgo,CDMX
LOMAS DE SOTELO,11200,5504.83,19.44905549,-99.2150497,Miguel Hidalgo,CDMX
ESCANDON II,11800,6089.307032,19.40013815,-99.17902124,Miguel Hidalgo,CDMX
ARGENTINA ANTIGUA,11270,2969.344424,19.45569232,-99.20428408,Miguel Hidalgo,CDMX
IRRIGACION,11500,5646.444358,19.44197747,-99.20846806,Miguel Hidalgo,CDMX
VERONICA ANZURES,11300,9216.572375,19.43599028,-99.17339436,Miguel Hidalgo,CDMX
POPO,11480,2970.45,19.44574092,-99.19965227,Miguel Hidalgo,CDMX
ANAHUAC II,11320,4608.943614,19.44096709,-99.17697163,Miguel Hidalgo,CDMX
