nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
MOCTEZUMA 2A SECCION III,15900,2726.04,19.43307351,-99.10215923,Venustiano Carranza,CDMX
PINO (U HAB),15900,2873.51,19.40975372,-99.09861492,Venustiano Carranza,CDMX
BAHIA (U HAB),15930,2042.49,19.41623536,-99.08335231,Venustiano Carranza,CDMX
MORELOS II,15940,3272.403381,19.44215208,-99.11909439,Venustiano Carranza,CDMX
JARDIN BALBUENA II,15950,2873.51,19.41780387,-99.11353258,Venustiano Carranza,CDMX
VIADUCTO  - BALBUENA )CONJ HAB),15950,3281.026996,19.40754566,-99.11012706,Venustiano Carranza,CDMX
EMILIANO ZAPATA (U HAB),15960,5921.31,19.43277954,-99.12013489,Venustiano Carranza,CDMX
LORENZO BOTURINI,15960,3943.998204,19.41634105,-99.1251438,Venustiano Carranza,CDMX
ADOLFO LOPEZ MATEOS,15970,2128.557314,19.42177275,-99.07150866,Venustiano Carranza,CDMX
AERONAUTICA MILITAR,15970,3062.57,19.42001205,-99.11591294,Venustiano Carranza,CDMX
24 DE ABRIL,15980,3062.57,19.41598745,-99.11662069,Venustiano Carranza,CDMX
EL PARQUE,15980,2731.596183,19.41713759,-99.11913352,Venustiano Carranza,CDMX
ALVARO OBREGON,15990,3062.57,19.41284667,-99.11870734,Venustiano Carranza,CDMX
JARDIN BALBUENA III,15990,2873.582898,19.41402202,-99.10489203,Venustiano Carranza,CDMX
KENNEDY (U HAB),15990,2873.51,19.41993157,-99.11123654,Venustiano Carranza,CDMX
PUEBLA,15020,1933.881354,19.40931237,-99.08240591,Venustiano Carranza,CDMX
AMPL CARACOL,15650,1825.24,19.42880346,-99.06818536,Venustiano Carranza,CDMX
